line_id,line_of_business,month,year,quarter,gwp_gbp_k,nwp_gbp_k,claims_incurred_gbp_k,claims_count,avg_claim_size_gbp,loss_ratio,expense_ratio,combined_ratio,underwriting_profit_gbp_k,reserve_adequacy_pct,new_policies,renewal_rate_pct
IL01,Motor,2024-10-01,2024,Q4,10715.87,10253.45,6751.0,7716,874.93,0.63,0.268,0.898,1093.02,0.9665,8374,0.882
IL01,Motor,2024-11-01,2024,Q4,10479.79,9850.33,7155.6,7919,903.6,0.6828,0.273,0.9558,463.21,1.0206,5914,0.795
IL01,Motor,2024-12-01,2024,Q4,10659.68,9534.36,7200.61,9004,799.71,0.6755,0.2846,0.9601,425.32,1.0183,6049,0.827
IL02,Home,2022-01-01,2022,Q1,5022.25,4550.02,3085.17,3400,907.4,0.6143,0.2956,0.9099,452.5,1.0132,4150,0.887
IL02,Home,2022-02-01,2022,Q1,5180.81,4942.97,3268.05,4342,752.66,0.6308,0.3019,0.9327,348.67,0.9932,3796,0.915
IL02,Home,2022-03-01,2022,Q1,5206.62,4995.61,3345.25,3647,917.26,0.6425,0.3145,0.957,223.88,1.0013,2839,0.822
IL02,Home,2022-04-01,2022,Q2,5105.19,4718.69,2923.23,3932,743.45,0.5726,0.3097,0.8823,600.88,1.0446,2758,0.91
IL02,Home,2022-05-01,2022,Q2,5086.52,4570.95,3851.0,3618,1064.4,0.7571,0.2892,1.0463,-235.51,1.0879,3450,0.793
IL02,Home,2022-06-01,2022,Q2,5232.71,4950.44,3365.68,4272,787.85,0.6432,0.3067,0.9499,262.16,1.0672,2891,0.861
IL02,Home,2022-07-01,2022,Q3,5519.16,4881.55,3312.6,4217,785.53,0.6002,0.3069,0.9071,512.73,1.0811,3229,0.829
IL02,Home,2022-08-01,2022,Q3,5489.07,5094.87,3603.57,4507,799.55,0.6565,0.3111,0.9676,177.85,0.9519,3925,0.889
IL02,Home,2022-09-01,2022,Q3,5275.03,4735.2,3030.5,4587,660.67,0.5745,0.3012,0.8757,655.69,0.9586,3567,0.882
IL02,Home,2022-10-01,2022,Q4,5297.87,4829.25,3334.48,4314,772.94,0.6294,0.3001,0.9295,373.5,0.9725,3523,0.792
IL02,Home,2022-11-01,2022,Q4,5411.15,4818.25,4126.0,3395,1215.32,0.7625,0.2876,1.0501,-271.1,0.9729,3238,0.858
IL02,Home,2022-12-01,2022,Q4,5383.81,4768.61,3175.91,4270,743.77,0.5899,0.3035,0.8934,573.91,1.0821,2907,0.825
IL02,Home,2023-01-01,2023,Q1,5637.37,5228.72,3591.0,4222,850.55,0.637,0.2977,0.9347,368.12,0.9541,3705,0.823
IL02,Home,2023-02-01,2023,Q1,5690.29,5379.91,3804.53,4657,816.95,0.6686,0.2983,0.9669,188.35,0.9839,3523,0.832
IL02,Home,2023-03-01,2023,Q1,5583.76,5301.78,3246.96,5678,571.85,0.5815,0.2866,0.8681,736.5,1.0894,3028,0.782
IL02,Home,2023-04-01,2023,Q2,5567.12,4989.83,3423.78,4629,739.64,0.615,0.2857,0.9007,552.82,1.039,3875,0.816
IL02,Home,2023-05-01,2023,Q2,5469.87,5103.84,3196.59,5094,627.52,0.5844,0.306,0.8904,599.5,0.9574,3348,0.804
IL02,Home,2023-06-01,2023,Q2,5378.37,4900.19,3397.52,4263,796.98,0.6317,0.2866,0.9183,439.41,0.9961,3181,0.899
IL02,Home,2023-07-01,2023,Q3,5603.4,5101.65,3206.83,4242,755.97,0.5723,0.311,0.8833,653.92,1.116,3099,0.794
IL02,Home,2023-08-01,2023,Q3,5431.04,5181.8,3384.08,3743,904.11,0.6231,0.2906,0.9137,468.7,0.9537,3256,0.815
IL02,Home,2023-09-01,2023,Q3,5567.6,5177.97,3392.9,4157,816.19,0.6094,0.2897,0.8991,561.77,0.9902,3681,0.917
IL02,Home,2023-10-01,2023,Q4,5570.14,4914.85,3523.11,5246,671.58,0.6325,0.3114,0.9439,312.48,1.0443,2821,0.819
IL02,Home,2023-11-01,2023,Q4,5393.06,5010.13,3427.83,3301,1038.42,0.6356,0.2876,0.9232,414.19,1.0563,3975,0.812
IL02,Home,2023-12-01,2023,Q4,5460.41,4895.48,3640.46,4042,900.66,0.6667,0.3123,0.979,114.67,0.9736,3755,0.856
IL02,Home,2024-01-01,2024,Q1,5793.11,5559.39,3482.24,4325,805.14,0.6011,0.3062,0.9073,537.02,1.1159,3438,0.8
IL02,Home,2024-02-01,2024,Q1,5887.08,5330.21,3543.43,4989,710.25,0.6019,0.3017,0.9036,567.51,1.0995,3457,0.882
IL02,Home,2024-03-01,2024,Q1,5811.47,5529.79,3553.71,3380,1051.39,0.6115,0.2973,0.9088,530.01,1.1087,3866,0.818
IL02,Home,2024-04-01,2024,Q2,5838.26,5402.51,3436.98,4319,795.78,0.5887,0.3079,0.8966,603.68,0.9893,3264,0.813
IL02,Home,2024-05-01,2024,Q2,5805.11,5439.16,3707.72,3853,962.3,0.6387,0.2993,0.938,359.92,1.0136,3473,0.899
IL02,Home,2024-06-01,2024,Q2,5712.1,5149.96,3367.85,4578,735.66,0.5896,0.286,0.8756,710.59,1.0202,3348,0.884
IL02,Home,2024-07-01,2024,Q3,6015.75,5529.65,3471.09,6016,576.98,0.577,0.3128,0.8898,662.94,1.0052,3522,0.844
IL02,Home,2024-08-01,2024,Q3,5608.77,5210.1,3222.24,4132,779.83,0.5745,0.3071,0.8816,664.08,1.0762,3630,0.863
IL02,Home,2024-09-01,2024,Q3,5787.89,5112.98,3753.45,3595,1044.07,0.6485,0.3006,0.9491,294.6,1.1193,3732,0.853
IL02,Home,2024-10-01,2024,Q4,5731.76,5177.47,3586.36,4461,803.94,0.6257,0.3005,0.9262,423.0,1.0177,3332,0.823
IL02,Home,2024-11-01,2024,Q4,6001.57,5349.67,3674.76,5483,670.21,0.6123,0.3034,0.9157,505.93,1.0911,3795,0.843
IL02,Home,2024-12-01,2024,Q4,5960.01,5441.99,3860.3,4661,828.21,0.6477,0.3131,0.9608,233.63,1.0267,3333,0.805
IL03,Commercial Property,2022-01-01,2022,Q1,6155.09,5863.17,3399.46,4923,690.53,0.5523,0.2489,0.8012,1223.63,1.0854,4448,0.881
IL03,Commercial Property,2022-02-01,2022,Q1,5889.58,5555.55,3388.28,4138,818.82,0.5753,0.2466,0.8219,1048.93,1.037,3464,0.913
IL03,Commercial Property,2022-03-01,2022,Q1,6065.51,5410.48,3669.03,4036,909.08,0.6049,0.2603,0.8652,817.63,1.0977,3354,0.805
IL03,Commercial Property,2022-04-01,2022,Q2,6290.73,5595.0,3537.28,4199,842.41,0.5623,0.2567,0.819,1138.62,0.9724,4008,0.808
IL03,Commercial Property,2022-05-01,2022,Q2,6256.02,5947.07,3604.72,4940,729.7,0.5762,0.2589,0.8351,1031.62,0.9904,3739,0.862
IL03,Commercial Property,2022-06-01,2022,Q2,6185.45,5749.88,3346.33,4974,672.76,0.541,0.2525,0.7935,1277.3,1.0448,4333,0.896
IL03,Commercial Property,2022-07-01,2022,Q3,5940.2,5625.61,3529.67,5286,667.74,0.5942,0.2384,0.8326,994.39,1.0007,3004,0.909
IL03,Commercial Property,2022-08-01,2022,Q3,5959.71,5528.21,3278.44,4067,806.11,0.5501,0.2543,0.8044,1165.72,1.0838,3105,0.805
IL03,Commercial Property,2022-09-01,2022,Q3,6233.64,5674.58,3864.86,4804,804.51,0.62,0.2398,0.8598,873.96,0.9615,4195,0.84
IL03,Commercial Property,2022-10-01,2022,Q4,6313.81,5821.15,3447.97,4932,699.1,0.5461,0.2549,0.801,1256.45,1.0683,4399,0.866
IL03,Commercial Property,2022-11-01,2022,Q4,6056.42,5782.13,3585.4,3924,913.71,0.592,0.2622,0.8542,883.03,1.1177,3709,0.82
IL03,Commercial Property,2022-12-01,2022,Q4,6392.12,5912.78,3722.77,4909,758.36,0.5824,0.2624,0.8448,992.06,1.0383,4049,0.868
IL03,Commercial Property,2023-01-01,2023,Q1,6339.24,5590.7,3741.42,5106,732.75,0.5902,0.2552,0.8454,980.05,1.0563,3799,0.797
IL03,Commercial Property,2023-02-01,2023,Q1,6586.31,6131.86,4125.01,4844,851.57,0.6263,0.2479,0.8742,828.56,0.9519,4535,0.808
IL03,Commercial Property,2023-03-01,2023,Q1,6246.16,5839.33,3511.59,4965,707.27,0.5622,0.2502,0.8124,1171.78,1.008,3797,0.881
IL03,Commercial Property,2023-04-01,2023,Q2,6480.82,6178.12,4454.92,4676,952.72,0.6874,0.2458,0.9332,432.92,1.0855,4547,0.87
IL03,Commercial Property,2023-05-01,2023,Q2,6415.59,5858.18,3954.57,4560,867.23,0.6164,0.2509,0.8673,851.35,1.0762,4622,0.897
IL03,Commercial Property,2023-06-01,2023,Q2,6319.13,5965.02,3557.04,5304,670.63,0.5629,0.2509,0.8138,1176.62,1.101,4534,0.83
IL03,Commercial Property,2023-07-01,2023,Q3,6773.46,6270.05,3633.96,4506,806.47,0.5365,0.2621,0.7986,1364.17,1.0162,3320,0.863
IL03,Commercial Property,2023-08-01,2023,Q3,6727.47,6187.69,4029.75,6063,664.65,0.599,0.2454,0.8444,1046.79,0.9904,4146,0.843
IL03,Commercial Property,2023-09-01,2023,Q3,6805.58,6486.18,3822.69,5701,670.53,0.5617,0.2403,0.802,1347.5,1.0254,3161,0.783
IL03,Commercial Property,2023-10-01,2023,Q4,6522.06,6144.06,3595.61,5130,700.9,0.5513,0.2606,0.8119,1226.8,0.9744,3281,0.902
IL03,Commercial Property,2023-11-01,2023,Q4,6765.93,6340.31,4035.2,5293,762.37,0.5964,0.2408,0.8372,1101.49,1.0388,3466,0.781
IL03,Commercial Property,2023-12-01,2023,Q4,6860.55,6323.0,4038.81,5282,764.64,0.5887,0.2397,0.8284,1177.27,1.062,4151,0.824
IL03,Commercial Property,2024-01-01,2024,Q1,6648.93,6020.82,4098.4,5508,744.08,0.6164,0.2455,0.8619,918.22,1.025,4389,0.796
IL03,Commercial Property,2024-02-01,2024,Q1,6387.23,5799.77,3417.17,4676,730.79,0.535,0.2531,0.7881,1353.45,1.0041,3801,0.8
IL03,Commercial Property,2024-03-01,2024,Q1,6776.74,6204.05,3769.9,4954,760.98,0.5563,0.2393,0.7956,1385.17,0.9721,3744,0.846
IL03,Commercial Property,2024-04-01,2024,Q2,6779.7,6287.63,3651.55,5817,627.74,0.5386,0.2482,0.7868,1445.43,1.0921,4726,0.878
IL03,Commercial Property,2024-05-01,2024,Q2,6762.33,6477.6,4121.64,5011,822.52,0.6095,0.2553,0.8648,914.27,1.0785,3470,0.845
IL03,Commercial Property,2024-06-01,2024,Q2,6459.53,6051.4,3997.8,4224,946.45,0.6189,0.2492,0.8681,852.01,1.0291,4091,0.812
IL03,Commercial Property,2024-07-01,2024,Q3,6542.58,6105.63,3866.01,4443,870.14,0.5909,0.2603,0.8512,973.54,1.0841,4434,0.904
IL03,Commercial Property,2024-08-01,2024,Q3,6718.91,6325.42,4851.72,4976,975.03,0.7221,0.2463,0.9684,212.32,1.0528,4110,0.798
IL03,Commercial Property,2024-09-01,2024,Q3,6503.63,6000.38,3950.96,4521,873.91,0.6075,0.2456,0.8531,955.38,1.0181,3157,0.838
IL03,Commercial Property,2024-10-01,2024,Q4,6876.85,6376.75,4291.15,4820,890.28,0.624,0.2471,0.8711,886.43,1.0833,4975,0.841
IL03,Commercial Property,2024-11-01,2024,Q4,7012.83,6493.43,3895.63,7041,553.28,0.5555,0.2541,0.8096,1335.24,1.0327,4817,0.863
IL03,Commercial Property,2024-12-01,2024,Q4,6813.91,6055.52,4155.8,5700,729.09,0.6099,0.2419,0.8518,1009.82,1.0884,4031,0.888
IL04,Liability,2022-01-01,2022,Q1,3753.99,3574.78,2117.63,3323,637.26,0.5641,0.2589,0.823,664.46,1.0581,1679,0.78
IL04,Liability,2022-02-01,2022,Q1,3677.76,3436.95,2033.07,2728,745.26,0.5528,0.267,0.8198,662.73,1.0038,2115,0.86
IL04,Liability,2022-03-01,2022,Q1,3982.97,3533.46,2345.97,3550,660.84,0.589,0.2682,0.8572,568.77,0.9514,2357,0.918
IL04,Liability,2022-04-01,2022,Q2,3800.68,3558.46,2021.58,2920,692.32,0.5319,0.2665,0.7984,766.22,1.0895,2250,0.83
IL04,Liability,2022-05-01,2022,Q2,3989.09,3632.56,2101.05,2916,720.53,0.5267,0.2755,0.8022,789.04,1.0149,2565,0.856
IL04,Liability,2022-06-01,2022,Q2,3925.37,3502.77,2051.4,3808,538.71,0.5226,0.2669,0.7895,826.29,1.1196,2080,0.874
IL04,Liability,2022-07-01,2022,Q3,3733.53,3581.27,1894.39,2588,731.99,0.5074,0.276,0.7834,808.68,0.9644,2266,0.87
IL04,Liability,2022-08-01,2022,Q3,3855.23,3549.72,2218.3,2867,773.74,0.5754,0.2728,0.8482,585.22,1.0438,2400,0.843
IL04,Liability,2022-09-01,2022,Q3,3844.23,3537.22,2149.69,3236,664.31,0.5592,0.2721,0.8313,648.52,1.0198,2121,0.856
IL04,Liability,2022-10-01,2022,Q4,3861.38,3611.32,2146.93,3424,627.02,0.556,0.2755,0.8315,650.64,0.9742,2547,0.882
IL04,Liability,2022-11-01,2022,Q4,4116.12,3651.31,2364.71,4055,583.16,0.5745,0.2691,0.8436,643.76,1.0303,2796,0.884
IL04,Liability,2022-12-01,2022,Q4,4120.47,3739.26,2314.88,3244,713.59,0.5618,0.278,0.8398,660.1,1.0823,2572,0.846
IL04,Liability,2023-01-01,2023,Q1,3957.0,3573.71,2257.86,3851,586.31,0.5706,0.2679,0.8385,639.06,0.956,2235,0.909
IL04,Liability,2023-02-01,2023,Q1,4063.83,3592.95,2257.86,3007,750.87,0.5556,0.2582,0.8138,756.69,1.1184,2471,0.893
IL04,Liability,2023-03-01,2023,Q1,4027.37,3586.79,2067.25,3415,605.34,0.5133,0.2702,0.7835,871.93,0.9978,2207,0.9
IL04,Liability,2023-04-01,2023,Q2,3797.06,3586.81,1979.79,3278,603.96,0.5214,0.2725,0.7939,782.57,0.9944,2546,0.878
IL04,Liability,2023-05-01,2023,Q2,3997.97,3816.92,2326.42,3391,686.06,0.5819,0.2658,0.8477,608.89,0.9762,2489,0.849
IL04,Liability,2023-06-01,2023,Q2,4215.39,3957.19,2221.09,3184,697.58,0.5269,0.2684,0.7953,862.89,1.0087,2352,0.87
IL04,Liability,2023-07-01,2023,Q3,4133.23,3886.04,2152.17,3089,696.72,0.5207,0.2673,0.788,876.24,1.0405,2999,0.833
IL04,Liability,2023-08-01,2023,Q3,4126.6,3779.58,2140.88,4243,504.57,0.5188,0.28,0.7988,830.27,1.0653,2532,0.915
IL04,Liability,2023-09-01,2023,Q3,4130.88,3938.56,3029.59,3727,812.88,0.7334,0.2737,1.0071,-29.33,1.0959,2383,0.827
IL04,Liability,2023-10-01,2023,Q4,3975.18,3731.68,2240.41,3275,684.1,0.5636,0.2671,0.8307,673.0,1.0501,1861,0.807
IL04,Liability,2023-11-01,2023,Q4,4016.91,3538.72,2096.02,2859,733.13,0.5218,0.2713,0.7931,831.1,0.9666,1873,0.795
IL04,Liability,2023-12-01,2023,Q4,4074.52,3891.49,2163.16,3436,629.56,0.5309,0.2617,0.7926,845.06,1.0616,2465,0.897
IL04,Liability,2024-01-01,2024,Q1,4295.23,4005.35,2440.98,3576,682.6,0.5683,0.2597,0.828,738.78,1.103,2434,0.859
IL04,Liability,2024-02-01,2024,Q1,4316.17,4018.8,2448.13,2462,994.37,0.5672,0.2633,0.8305,731.59,1.1069,2756,0.819
IL04,Liability,2024-03-01,2024,Q1,4106.83,3869.33,2356.09,3370,699.14,0.5737,0.2652,0.8389,661.61,1.0151,2573,0.827
IL04,Liability,2024-04-01,2024,Q2,3967.98,3685.56,2100.25,2263,928.08,0.5293,0.2684,0.7977,802.72,0.9803,2418,0.849
IL04,Liability,2024-05-01,2024,Q2,4015.87,3567.15,2109.13,3755,561.69,0.5252,0.2739,0.7991,806.79,0.9624,2143,0.86
IL04,Liability,2024-06-01,2024,Q2,4073.6,3801.36,2382.65,2656,897.08,0.5849,0.2605,0.8454,629.78,0.9953,1859,0.878
IL04,Liability,2024-07-01,2024,Q3,4361.07,4132.22,2404.69,3022,795.73,0.5514,0.2819,0.8333,726.99,1.0828,2638,0.89
IL04,Liability,2024-08-01,2024,Q3,4222.07,4031.25,3113.78,2834,1098.72,0.7375,0.2786,1.0161,-67.98,1.011,2582,0.875
IL04,Liability,2024-09-01,2024,Q3,4177.03,3702.67,2466.12,2303,1070.83,0.5904,0.2589,0.8493,629.48,1.0281,2322,0.887
IL04,Liability,2024-10-01,2024,Q4,4295.33,4087.94,2188.47,3676,595.34,0.5095,0.2669,0.7764,960.44,1.0572,3071,0.83
IL04,Liability,2024-11-01,2024,Q4,4070.34,3774.98,2322.94,3483,666.94,0.5707,0.2603,0.831,687.89,1.0332,2928,0.789
IL04,Liability,2024-12-01,2024,Q4,4277.81,3777.15,2365.63,2077,1138.96,0.553,0.279,0.832,718.67,0.9595,2921,0.89
IL05,Health & Protection,2022-01-01,2022,Q1,4389.69,4169.94,3315.97,2873,1154.18,0.7554,0.2237,0.9791,91.74,0.9753,2770,0.861
IL05,Health & Protection,2022-02-01,2022,Q1,4811.11,4251.41,4081.75,2790,1462.99,0.8484,0.2234,1.0718,-345.44,1.0692,3041,0.798
IL05,Health & Protection,2022-03-01,2022,Q1,4478.41,4152.76,3906.52,3319,1177.02,0.8723,0.2265,1.0988,-442.47,1.089,2746,0.795
IL05,Health & Protection,2022-04-01,2022,Q2,4644.0,4451.62,3194.14,2956,1080.56,0.6878,0.2267,0.9145,397.06,1.0653,3089,0.825
IL05,Health & Protection,2022-05-01,2022,Q2,4882.31,4528.08,3311.18,4127,802.32,0.6782,0.2274,0.9056,460.89,1.007,2289,0.797
IL05,Health & Protection,2022-06-01,2022,Q2,4508.04,3981.75,3347.67,2653,1261.84,0.7426,0.2212,0.9638,163.19,0.967,3013,0.899
IL05,Health & Protection,2022-07-01,2022,Q3,4743.85,4208.42,3150.87,4093,769.82,0.6642,0.2197,0.8839,550.76,1.0608,2855,0.904
IL05,Health & Protection,2022-08-01,2022,Q3,4667.03,4302.29,3506.81,3915,895.74,0.7514,0.2242,0.9756,113.88,1.02,3313,0.911
IL05,Health & Protection,2022-09-01,2022,Q3,4774.06,4500.06,4076.57,4457,914.64,0.8539,0.22,1.0739,-352.8,1.0091,2699,0.781
IL05,Health & Protection,2022-10-01,2022,Q4,4612.08,4257.77,3336.84,3185,1047.67,0.7235,0.2111,0.9346,301.63,0.9873,3243,0.888
IL05,Health & Protection,2022-11-01,2022,Q4,4828.56,4432.39,3306.12,3360,983.96,0.6847,0.2265,0.9112,428.78,0.98,1963,0.874
IL05,Health & Protection,2022-12-01,2022,Q4,4550.53,4280.56,3163.53,3224,981.24,0.6952,0.2186,0.9138,392.26,0.9574,3298,0.884
IL05,Health & Protection,2023-01-01,2023,Q1,4987.25,4676.61,3754.9,4779,785.71,0.7529,0.2197,0.9726,136.65,1.0508,3556,0.826
IL05,Health & Protection,2023-02-01,2023,Q1,4655.07,4371.2,3258.08,3626,898.53,0.6999,0.2261,0.926,344.48,1.0979,2943,0.833
IL05,Health & Protection,2023-03-01,2023,Q1,4680.86,4289.54,3361.79,4402,763.7,0.7182,0.2286,0.9468,249.02,1.0158,3486,0.799
IL05,Health & Protection,2023-04-01,2023,Q2,4937.34,4368.42,3825.45,4478,854.28,0.7748,0.2134,0.9882,58.26,0.9732,3397,0.899
IL05,Health & Protection,2023-05-01,2023,Q2,4826.88,4494.02,3388.47,3183,1064.55,0.702,0.2285,0.9305,335.47,1.054,2482,0.804
IL05,Health & Protection,2023-06-01,2023,Q2,5091.44,4721.43,3423.48,2397,1428.24,0.6724,0.2279,0.9003,507.62,1.0923,3145,0.819
IL05,Health & Protection,2023-07-01,2023,Q3,4990.96,4628.33,3447.76,3068,1123.78,0.6908,0.2162,0.907,464.16,0.9753,2591,0.86
IL05,Health & Protection,2023-08-01,2023,Q3,4652.46,4291.85,3103.19,3736,830.62,0.667,0.2194,0.8864,528.52,1.0315,2694,0.892
IL05,Health & Protection,2023-09-01,2023,Q3,5068.52,4845.48,3497.79,4874,717.64,0.6901,0.2213,0.9114,449.07,0.9726,3092,0.821
IL05,Health & Protection,2023-10-01,2023,Q4,4999.55,4698.49,3588.18,3713,966.38,0.7177,0.2157,0.9334,332.97,0.9542,2243,0.844
IL05,Health & Protection,2023-11-01,2023,Q4,5077.31,4725.31,3600.32,3672,980.48,0.7091,0.2264,0.9355,327.49,1.0963,3376,0.79
IL05,Health & Protection,2023-12-01,2023,Q4,5154.23,4759.39,3433.75,3968,865.36,0.6662,0.2184,0.8846,594.8,1.0851,4081,0.89
IL05,Health & Protection,2024-01-01,2024,Q1,4766.87,4533.48,3561.81,4486,793.98,0.7472,0.2102,0.9574,203.07,0.9689,2667,0.831
IL05,Health & Protection,2024-02-01,2024,Q1,5051.12,4527.71,3447.89,4765,723.59,0.6826,0.2213,0.9039,485.41,1.1168,3290,0.813
IL05,Health & Protection,2024-03-01,2024,Q1,4814.46,4523.67,3710.02,4171,889.48,0.7706,0.2218,0.9924,36.59,0.9883,2821,0.829
IL05,Health & Protection,2024-04-01,2024,Q2,4907.5,4525.38,3407.28,3606,944.89,0.6943,0.2104,0.9047,467.68,0.9709,3318,0.879
IL05,Health & Protection,2024-05-01,2024,Q2,5130.71,4847.0,3571.49,4486,796.14,0.6961,0.2227,0.9188,416.61,1.1099,2136,0.789
IL05,Health & Protection,2024-06-01,2024,Q2,5255.53,4670.85,3529.61,3890,907.36,0.6716,0.2288,0.9004,523.45,0.9969,4176,0.878
IL05,Health & Protection,2024-07-01,2024,Q3,5072.03,4683.08,3664.03,3698,990.82,0.7224,0.2228,0.9452,277.95,0.9724,4076,0.829
IL05,Health & Protection,2024-08-01,2024,Q3,5061.92,4838.16,3523.1,4304,818.56,0.696,0.2104,0.9064,473.8,1.0596,2824,0.838
IL05,Health & Protection,2024-09-01,2024,Q3,5026.88,4602.71,3518.82,3705,949.75,0.7,0.2221,0.9221,391.59,1.0017,2286,0.798
IL05,Health & Protection,2024-10-01,2024,Q4,5272.15,4659.45,3650.44,5106,714.93,0.6924,0.2197,0.9121,463.42,1.01,3031,0.844
IL05,Health & Protection,2024-11-01,2024,Q4,4969.15,4648.29,3699.04,4912,753.06,0.7444,0.2153,0.9597,200.26,1.0633,2854,0.801
IL05,Health & Protection,2024-12-01,2024,Q4,5022.32,4645.64,4387.5,3996,1097.97,0.8736,0.2118,1.0854,-428.91,0.9559,3269,0.824
